epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.697,1.77601,1.44346,1.10132,0.35368,0.25695,0.18392,0.0391,3.48821,2.2334,2.16997,0.000207972,0.000207972,0.000207972
2,249.779,1.07624,0.65527,0.88897,0.31348,0.31924,0.19448,0.04512,3.27183,1.90438,2.40177,0.000408103,0.000408103,0.000408103
3,370.105,0.915,0.57071,0.85685,0.3108,0.19655,0.12249,0.02629,3.58639,2.34493,2.55331,0.000599983,0.000599983,0.000599983
4,490.34,0.81505,0.50901,0.83917,0.23462,0.2116,0.12442,0.0227,3.62846,2.07498,2.62873,0.000783611,0.000783611,0.000783611
5,608.913,0.73361,0.46055,0.82589,0.34207,0.14964,0.14869,0.03043,3.46655,2.53819,2.48595,0.000958987,0.000958987,0.000958987
6,727.431,0.72261,0.44211,0.82216,0.33932,0.19757,0.16306,0.03195,3.5657,2.51234,2.63942,0.00112611,0.00112611,0.00112611
7,844.925,0.69493,0.42472,0.81905,0.25745,0.17927,0.10322,0.0198,3.71237,2.5045,2.75813,0.00128499,0.00128499,0.00128499
8,961.373,0.65948,0.40181,0.8133,0.13762,0.3112,0.07513,0.01161,3.84157,2.96197,2.88455,0.00143561,0.00143561,0.00143561
9,1077.97,0.64169,0.38743,0.81175,0.27964,0.16131,0.10636,0.01936,3.61385,2.84609,2.70097,0.00140295,0.00140295,0.00140295
10,1194.15,0.61593,0.37474,0.80823,0.23661,0.14482,0.09222,0.01545,3.68981,3.02558,2.84879,0.00136994,0.00136994,0.00136994
11,1309.91,0.59562,0.36254,0.80594,0.11815,0.28857,0.09015,0.01469,3.71876,3.09915,2.85081,0.00133693,0.00133693,0.00133693
12,1425.92,0.5829,0.34885,0.80405,0.09767,0.26805,0.05921,0.01091,3.6848,3.33442,2.74349,0.00130393,0.00130393,0.00130393
13,1541.86,0.56082,0.33833,0.80078,0.19754,0.144,0.0669,0.01066,3.80719,3.21226,2.93033,0.00127092,0.00127092,0.00127092
14,1657.74,0.55174,0.33175,0.80028,0.14372,0.29138,0.08193,0.01394,3.64164,3.3505,2.81775,0.00123791,0.00123791,0.00123791
15,1772.88,0.53727,0.32447,0.79836,0.14299,0.25039,0.07333,0.01232,3.77892,3.34933,2.90383,0.00120491,0.00120491,0.00120491
16,1888.44,0.52073,0.31905,0.79662,0.23477,0.15974,0.07939,0.01529,3.69395,2.98613,2.84724,0.0011719,0.0011719,0.0011719
17,2003.64,0.51057,0.3126,0.79545,0.11787,0.25512,0.04918,0.00828,3.80558,3.26757,3.09138,0.00113889,0.00113889,0.00113889
18,2117.65,0.49546,0.30537,0.79337,0.13257,0.21962,0.04869,0.00778,3.96529,3.53678,3.14849,0.00110589,0.00110589,0.00110589
19,2233.04,0.4927,0.30472,0.79311,0.13058,0.28444,0.08005,0.01326,3.73673,3.22735,2.93125,0.00107288,0.00107288,0.00107288
20,2347.99,0.48207,0.2992,0.7924,0.12469,0.24107,0.06442,0.00964,3.81017,3.34771,3.02949,0.00103987,0.00103987,0.00103987
21,2463.44,0.47762,0.29562,0.7916,0.26992,0.17321,0.08748,0.01595,3.71753,3.28769,2.90014,0.00100687,0.00100687,0.00100687
22,2578.28,0.46452,0.28988,0.79022,0.21049,0.1776,0.07451,0.01292,3.78865,3.16783,3.01105,0.000973861,0.000973861,0.000973861
23,2693.11,0.4605,0.28877,0.79016,0.15124,0.24161,0.06126,0.00972,3.8835,3.49133,2.95236,0.000940855,0.000940855,0.000940855
24,2808.36,0.44995,0.28164,0.78891,0.1655,0.32475,0.13735,0.02266,3.60398,3.22122,2.81166,0.000907848,0.000907848,0.000907848
25,2923.74,0.45502,0.28251,0.78887,0.13708,0.20877,0.06018,0.00892,3.85636,3.70384,3.02267,0.000874842,0.000874842,0.000874842
26,3039.23,0.42854,0.27267,0.78673,0.21816,0.1526,0.08635,0.01387,3.76377,3.25109,3.05114,0.000841835,0.000841835,0.000841835
27,3154.06,0.43141,0.27294,0.78628,0.1626,0.26298,0.10107,0.01533,3.70646,3.56824,2.8791,0.000808828,0.000808828,0.000808828
28,3269.45,0.42586,0.26949,0.78619,0.12477,0.30084,0.09509,0.01521,3.7445,3.17873,3.00331,0.000775822,0.000775822,0.000775822
29,3384.45,0.41823,0.26678,0.78534,0.2688,0.16913,0.11371,0.01785,3.77336,3.29227,3.0215,0.000742815,0.000742815,0.000742815
30,3498.87,0.41493,0.26361,0.7846,0.14699,0.2844,0.08559,0.01361,3.74172,3.31953,2.97794,0.000709809,0.000709809,0.000709809
31,3614.68,0.41256,0.2624,0.78466,0.26987,0.19481,0.12683,0.02117,3.64478,3.13993,2.81765,0.000676802,0.000676802,0.000676802
32,3730.24,0.40239,0.25753,0.78402,0.15767,0.2622,0.0898,0.0145,3.74536,3.55438,2.97215,0.000643795,0.000643795,0.000643795
